,,,LogWNImputedprice_202106,LogWNImputedprice_202106,LogWNImputedprice_202106,LogImputedminInstalls_202106,LogImputedminInstalls_202106,LogImputedminInstalls_202106,offersIAPTrue_202106,containsAdsTrue_202106
,,,mean,std,50%,mean,std,50%,mean,mean
,,full_full_NicheDummy,,,,,,,,
combo1,full_full,Broad,0.7,0.95,0.09,10.66,3.94,11.51,0.33,0.24
combo1,full_full,Niche,0.55,0.79,0.08,12.31,3.63,13.12,0.51,0.44
combo1,minInstalls_Tier1,Broad,0.06,0.02,0.06,16.86,1.0,16.12,0.79,0.84
combo1,minInstalls_Tier1,Niche,0.05,0.06,0.05,16.8,1.15,16.12,0.73,0.76
combo1,minInstalls_Tier2,Broad,0.35,0.62,0.06,13.2,1.39,13.82,0.53,0.41
combo1,minInstalls_Tier2,Niche,0.2,0.48,0.06,13.41,1.33,13.82,0.62,0.56
combo1,minInstalls_Tier3,Broad,1.27,0.92,1.25,7.91,2.22,8.52,0.19,0.06
combo1,minInstalls_Tier3,Niche,1.23,0.84,1.26,8.06,2.12,8.52,0.24,0.1
combo2,full_full,Broad,0.7,0.95,0.09,10.66,3.94,11.51,0.33,0.24
combo2,full_full,Niche,0.55,0.79,0.08,12.31,3.63,13.12,0.51,0.44
combo2,starDeveloper_top_digital_firms,Broad,0.29,0.64,0.06,15.73,3.2,16.12,0.52,0.37
combo2,starDeveloper_top_digital_firms,Niche,0.37,0.8,0.06,15.99,2.82,16.12,0.51,0.41
combo2,starDeveloper_non-top_digital_firms,Broad,0.62,0.9,0.08,11.01,3.87,11.51,0.32,0.27
combo2,starDeveloper_non-top_digital_firms,Niche,0.57,0.79,0.08,12.13,3.55,13.12,0.53,0.45
combo3,full_full,Broad,0.7,0.95,0.09,10.66,3.94,11.51,0.33,0.24
combo3,full_full,Niche,0.55,0.79,0.08,12.31,3.63,13.12,0.51,0.44
combo3,categories_category_GAME,Broad,0.68,0.75,0.09,12.64,3.63,13.12,0.56,0.47
combo3,categories_category_GAME,Niche,0.49,0.71,0.07,13.16,3.41,13.82,0.66,0.6
combo3,categories_category_BUSINESS,Broad,0.7,0.91,0.08,11.09,3.83,11.51,0.31,0.19
combo3,categories_category_BUSINESS,Niche,0.58,0.84,0.08,12.08,3.39,11.51,0.42,0.33
combo3,categories_category_SOCIAL,Broad,0.51,0.85,0.06,10.65,3.96,11.51,0.37,0.25
combo3,categories_category_SOCIAL,Niche,0.51,0.87,0.07,11.51,4.07,11.51,0.4,0.33
combo3,categories_category_LIFESTYLE,Broad,0.8,0.89,0.7,10.17,3.7,9.21,0.29,0.23
combo3,categories_category_LIFESTYLE,Niche,0.5,0.75,0.07,12.18,3.56,13.12,0.47,0.44
combo3,categories_category_MEDICAL,Broad,1.39,1.35,1.25,8.1,3.53,6.91,0.19,0.06
combo3,categories_category_MEDICAL,Niche,0.61,0.94,0.07,11.54,3.21,11.51,0.49,0.19
