,,,LogWNImputedprice_202106,LogWNImputedprice_202106,LogWNImputedprice_202106,LogImputedminInstalls_202106,LogImputedminInstalls_202106,LogImputedminInstalls_202106,offersIAPTrue_202106,containsAdsTrue_202106
,,,mean,std,50%,mean,std,50%,mean,mean
,,full_full_cluster_size_bin,,,,,,,,
combo1,full_full,"[0, 10]",0.53,0.74,0.08,11.84,3.78,11.51,0.52,0.46
combo1,full_full,"(10, 30]",0.49,0.74,0.07,12.36,3.65,13.12,0.52,0.49
combo1,full_full,"(30, 100]",0.55,0.81,0.07,12.33,3.62,13.12,0.49,0.42
combo1,full_full,"(100, 500]",0.65,0.81,0.09,12.3,3.52,11.51,0.55,0.33
combo1,full_full,"(500, 1500]",0.7,0.95,0.09,10.66,3.94,11.51,0.33,0.24
combo1,minInstalls_Tier1,"[0, 10]",0.05,0.03,0.05,16.82,1.12,16.12,0.73,0.76
combo1,minInstalls_Tier1,"(10, 30]",0.05,0.07,0.05,16.79,1.16,16.12,0.74,0.76
combo1,minInstalls_Tier1,"(30, 100]",0.06,0.02,0.06,16.86,1.0,16.12,0.79,0.84
combo1,minInstalls_Tier1,"(100, 500]",,,,,,,,
combo1,minInstalls_Tier1,"(500, 1500]",,,,,,,,
combo1,minInstalls_Tier2,"[0, 10]",0.33,0.63,0.06,13.25,1.33,13.82,0.55,0.61
combo1,minInstalls_Tier2,"(10, 30]",0.19,0.46,0.06,13.41,1.34,13.82,0.63,0.55
combo1,minInstalls_Tier2,"(30, 100]",0.15,0.39,0.06,13.44,1.31,13.82,0.62,0.55
combo1,minInstalls_Tier2,"(100, 500]",0.44,0.66,0.07,13.5,1.4,13.82,0.71,0.56
combo1,minInstalls_Tier2,"(500, 1500]",0.3,0.6,0.06,13.12,1.36,13.12,0.48,0.35
combo1,minInstalls_Tier3,"[0, 10]",1.25,0.83,1.12,8.01,2.08,8.52,0.2,0.08
combo1,minInstalls_Tier3,"(10, 30]",1.21,0.87,1.26,8.09,2.17,8.86,0.28,0.13
combo1,minInstalls_Tier3,"(30, 100]",1.3,0.75,1.4,8.09,2.09,9.21,0.24,0.08
