,,LogWNImputedprice_202106,LogWNImputedprice_202106,LogWNImputedprice_202106,LogWNImputedprice_202106,LogWNImputedprice_202106,LogWNImputedprice_202106,LogWNImputedprice_202106,LogWNImputedprice_202106,LogImputedminInstalls_202106,LogImputedminInstalls_202106,LogImputedminInstalls_202106,LogImputedminInstalls_202106,LogImputedminInstalls_202106,LogImputedminInstalls_202106,LogImputedminInstalls_202106,LogImputedminInstalls_202106,offersIAPTrue_202106,offersIAPTrue_202106,offersIAPTrue_202106,offersIAPTrue_202106,offersIAPTrue_202106,offersIAPTrue_202106,offersIAPTrue_202106,offersIAPTrue_202106,containsAdsTrue_202106,containsAdsTrue_202106,containsAdsTrue_202106,containsAdsTrue_202106,containsAdsTrue_202106,containsAdsTrue_202106,containsAdsTrue_202106,containsAdsTrue_202106
,,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
,full_full_cluster_size_bin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
full_full,"[0, 10]",390.0,0.53,0.74,0.01,0.04,0.08,1.11,3.4,390.0,11.84,3.78,2.4,9.21,11.51,15.42,20.03,390.0,0.52,0.5,0.0,0.0,1.0,1.0,1.0,390.0,0.46,0.5,0.0,0.0,0.0,1.0,1.0
full_full,"(10, 30]",2815.0,0.49,0.74,0.01,0.04,0.07,0.74,5.02,2815.0,12.36,3.65,0.69,9.21,13.12,15.42,22.33,2815.0,0.52,0.5,0.0,0.0,1.0,1.0,1.0,2815.0,0.49,0.5,0.0,0.0,0.0,1.0,1.0
full_full,"(30, 100]",3710.0,0.55,0.81,0.01,0.04,0.07,1.11,5.94,3710.0,12.33,3.62,0.69,9.21,13.12,15.42,22.33,3710.0,0.49,0.5,0.0,0.0,0.0,1.0,1.0,3710.0,0.42,0.49,0.0,0.0,0.0,1.0,1.0
full_full,"(100, 500]",1177.0,0.65,0.81,0.01,0.05,0.09,1.39,4.62,1177.0,12.3,3.52,0.69,9.21,11.51,15.42,20.72,1177.0,0.55,0.5,0.0,0.0,1.0,1.0,1.0,1177.0,0.33,0.47,0.0,0.0,0.0,1.0,1.0
full_full,"(500, 1500]",1138.0,0.7,0.95,0.01,0.05,0.09,1.27,5.99,1138.0,10.66,3.94,0.69,6.91,11.51,13.82,22.33,1138.0,0.33,0.47,0.0,0.0,0.0,1.0,1.0,1138.0,0.24,0.43,0.0,0.0,0.0,0.0,1.0
minInstalls_Tier1,"[0, 10]",536.0,0.05,0.03,0.01,0.03,0.05,0.08,0.1,536.0,16.82,1.12,16.12,16.12,16.12,17.73,20.72,536.0,0.73,0.44,0.0,0.0,1.0,1.0,1.0,536.0,0.76,0.43,0.0,1.0,1.0,1.0,1.0
minInstalls_Tier1,"(10, 30]",1183.0,0.05,0.07,0.01,0.03,0.05,0.07,2.15,1183.0,16.79,1.16,16.12,16.12,16.12,17.73,22.33,1183.0,0.74,0.44,0.0,0.0,1.0,1.0,1.0,1183.0,0.76,0.43,0.0,1.0,1.0,1.0,1.0
minInstalls_Tier1,"(30, 100]",76.0,0.06,0.02,0.01,0.03,0.06,0.08,0.09,76.0,16.86,1.0,16.12,16.12,16.12,17.73,18.42,76.0,0.79,0.41,0.0,1.0,1.0,1.0,1.0,76.0,0.84,0.37,0.0,1.0,1.0,1.0,1.0
minInstalls_Tier1,"(100, 500]",0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,
minInstalls_Tier1,"(500, 1500]",0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,
minInstalls_Tier2,"[0, 10]",466.0,0.33,0.63,0.01,0.04,0.06,0.09,2.78,466.0,13.25,1.33,11.51,11.51,13.82,13.82,15.42,466.0,0.55,0.5,0.0,0.0,1.0,1.0,1.0,466.0,0.61,0.49,0.0,0.0,1.0,1.0,1.0
minInstalls_Tier2,"(10, 30]",1492.0,0.19,0.46,0.01,0.04,0.06,0.08,3.05,1492.0,13.41,1.34,11.51,11.51,13.82,13.82,15.42,1492.0,0.63,0.48,0.0,0.0,1.0,1.0,1.0,1492.0,0.55,0.5,0.0,0.0,1.0,1.0,1.0
minInstalls_Tier2,"(30, 100]",967.0,0.15,0.39,0.01,0.03,0.06,0.08,2.57,967.0,13.44,1.31,11.51,13.12,13.82,13.82,15.42,967.0,0.62,0.48,0.0,0.0,1.0,1.0,1.0,967.0,0.55,0.5,0.0,0.0,1.0,1.0,1.0
minInstalls_Tier2,"(100, 500]",386.0,0.44,0.66,0.01,0.04,0.07,0.71,2.83,386.0,13.5,1.4,11.51,11.51,13.82,13.82,15.42,386.0,0.71,0.45,0.0,0.0,1.0,1.0,1.0,386.0,0.56,0.5,0.0,0.0,1.0,1.0,1.0
minInstalls_Tier2,"(500, 1500]",818.0,0.3,0.6,0.01,0.03,0.06,0.09,3.26,818.0,13.12,1.36,11.51,11.51,13.12,13.82,15.42,818.0,0.48,0.5,0.0,0.0,0.0,1.0,1.0,818.0,0.35,0.48,0.0,0.0,0.0,1.0,1.0
minInstalls_Tier3,"[0, 10]",910.0,1.25,0.83,0.01,0.72,1.12,1.63,5.72,910.0,8.01,2.08,0.69,6.91,8.52,9.21,10.82,910.0,0.2,0.4,0.0,0.0,0.0,0.0,1.0,910.0,0.08,0.28,0.0,0.0,0.0,0.0,1.0
minInstalls_Tier3,"(10, 30]",992.0,1.21,0.87,0.01,0.71,1.26,1.79,5.94,992.0,8.09,2.17,0.69,6.91,8.86,9.21,10.82,992.0,0.28,0.45,0.0,0.0,0.0,1.0,1.0,992.0,0.13,0.34,0.0,0.0,0.0,0.0,1.0
minInstalls_Tier3,"(30, 100]",274.0,1.3,0.75,0.01,0.73,1.4,1.8,4.11,274.0,8.09,2.09,2.4,6.91,9.21,9.21,10.82,274.0,0.24,0.43,0.0,0.0,0.0,0.0,1.0,274.0,0.08,0.27,0.0,0.0,0.0,0.0,1.0
minInstalls_Tier3,"(100, 500]",250.0,1.32,0.58,0.01,0.93,1.4,1.72,3.05,250.0,8.49,2.04,0.69,6.91,9.21,9.21,10.82,250.0,0.17,0.38,0.0,0.0,0.0,0.0,1.0,250.0,0.06,0.25,0.0,0.0,0.0,0.0,1.0
minInstalls_Tier3,"(500, 1500]",880.0,1.25,1.0,0.01,0.7,1.12,1.8,5.99,880.0,7.74,2.24,0.69,6.91,8.52,9.21,10.82,880.0,0.19,0.39,0.0,0.0,0.0,0.0,1.0,880.0,0.06,0.24,0.0,0.0,0.0,0.0,1.0
