,,LogWNImputedprice_202106,LogWNImputedprice_202106,LogWNImputedprice_202106,LogWNImputedprice_202106,LogWNImputedprice_202106,LogWNImputedprice_202106,LogWNImputedprice_202106,LogWNImputedprice_202106,LogImputedminInstalls_202106,LogImputedminInstalls_202106,LogImputedminInstalls_202106,LogImputedminInstalls_202106,LogImputedminInstalls_202106,LogImputedminInstalls_202106,LogImputedminInstalls_202106,LogImputedminInstalls_202106,offersIAPTrue_202106,offersIAPTrue_202106,offersIAPTrue_202106,offersIAPTrue_202106,offersIAPTrue_202106,offersIAPTrue_202106,offersIAPTrue_202106,offersIAPTrue_202106,containsAdsTrue_202106,containsAdsTrue_202106,containsAdsTrue_202106,containsAdsTrue_202106,containsAdsTrue_202106,containsAdsTrue_202106,containsAdsTrue_202106,containsAdsTrue_202106
,,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
,full_full_NicheDummy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
full_full,Broad,1138.0,0.7,0.95,0.01,0.05,0.09,1.27,5.99,1138.0,10.66,3.94,0.69,6.91,11.51,13.82,22.33,1138.0,0.33,0.47,0.0,0.0,0.0,1.0,1.0,1138.0,0.24,0.43,0.0,0.0,0.0,0.0,1.0
full_full,Niche,8092.0,0.55,0.79,0.01,0.04,0.08,1.11,5.94,8092.0,12.31,3.63,0.69,9.21,13.12,15.42,22.33,8092.0,0.51,0.5,0.0,0.0,1.0,1.0,1.0,8092.0,0.44,0.5,0.0,0.0,0.0,1.0,1.0
categories_category_GAME,Broad,769.0,0.68,0.75,0.01,0.05,0.09,1.39,3.44,769.0,12.64,3.63,0.69,9.21,13.12,16.12,20.72,769.0,0.56,0.5,0.0,0.0,1.0,1.0,1.0,769.0,0.47,0.5,0.0,0.0,0.0,1.0,1.0
categories_category_GAME,Niche,2524.0,0.49,0.71,0.01,0.04,0.07,1.1,4.26,2524.0,13.16,3.41,0.69,10.82,13.82,16.12,20.72,2524.0,0.66,0.47,0.0,0.0,1.0,1.0,1.0,2524.0,0.6,0.49,0.0,0.0,1.0,1.0,1.0
categories_category_BUSINESS,Broad,527.0,0.7,0.91,0.01,0.04,0.08,1.39,5.02,527.0,11.09,3.83,0.69,8.52,11.51,13.82,22.33,527.0,0.31,0.46,0.0,0.0,0.0,1.0,1.0,527.0,0.19,0.39,0.0,0.0,0.0,0.0,1.0
categories_category_BUSINESS,Niche,1147.0,0.58,0.84,0.01,0.04,0.08,1.12,5.72,1147.0,12.08,3.39,2.4,9.21,11.51,13.82,22.33,1147.0,0.42,0.49,0.0,0.0,0.0,1.0,1.0,1147.0,0.33,0.47,0.0,0.0,0.0,1.0,1.0
categories_category_SOCIAL,Broad,187.0,0.51,0.85,0.01,0.04,0.06,0.72,5.23,187.0,10.65,3.96,0.69,6.91,11.51,13.82,20.72,187.0,0.37,0.48,0.0,0.0,0.0,1.0,1.0,187.0,0.25,0.43,0.0,0.0,0.0,0.0,1.0
categories_category_SOCIAL,Niche,1270.0,0.51,0.87,0.01,0.04,0.07,0.72,5.99,1270.0,11.51,4.07,0.69,9.21,11.51,13.82,22.33,1270.0,0.4,0.49,0.0,0.0,0.0,1.0,1.0,1270.0,0.33,0.47,0.0,0.0,0.0,1.0,1.0
categories_category_LIFESTYLE,Broad,588.0,0.8,0.89,0.01,0.06,0.7,1.4,5.99,588.0,10.17,3.7,2.4,6.91,9.21,13.82,20.72,588.0,0.29,0.45,0.0,0.0,0.0,1.0,1.0,588.0,0.23,0.42,0.0,0.0,0.0,0.0,1.0
categories_category_LIFESTYLE,Niche,1725.0,0.5,0.75,0.01,0.04,0.07,0.92,4.75,1725.0,12.18,3.56,0.69,9.21,13.12,15.42,22.33,1725.0,0.47,0.5,0.0,0.0,0.0,1.0,1.0,1725.0,0.44,0.5,0.0,0.0,0.0,1.0,1.0
categories_category_MEDICAL,Broad,47.0,1.39,1.35,0.02,0.08,1.25,1.95,5.53,47.0,8.1,3.53,1.79,5.42,6.91,10.82,16.12,47.0,0.19,0.4,0.0,0.0,0.0,0.0,1.0,47.0,0.06,0.25,0.0,0.0,0.0,0.0,1.0
categories_category_MEDICAL,Niche,446.0,0.61,0.94,0.01,0.04,0.07,1.12,4.62,446.0,11.54,3.21,1.79,9.21,11.51,13.82,20.72,446.0,0.49,0.5,0.0,0.0,0.0,1.0,1.0,446.0,0.19,0.39,0.0,0.0,0.0,0.0,1.0
