,Samples,Independent Vars,Log Price,Log Minimum Installs,Offers IAP,Contains Ads
0,Full,Constant,0.948***,4.283***,0.108***,0.092***
1,Full,Niche,-0.12***,1.16***,0.156***,0.174***
2,"Gaming 
Apps",Constant,0.518***,6.877***,0.219***,0.328***
3,"Gaming 
Apps",Niche,-0.161***,0.294**,0.086***,0.109***
4,"Business 
Apps",Constant,0.703***,5.399***,0.163***,0.229***
5,"Business 
Apps",Niche,-0.131***,0.558***,0.098***,0.145***
6,"Social 
Apps",Constant,1.305***,2.586***,0.102**,0.018
7,"Social 
Apps",Niche,0.03,0.783***,0.014,0.073**
8,"Lifestyle 
Apps",Constant,0.876***,4.262***,0.169***,0.065
9,"Lifestyle 
Apps",Niche,-0.284***,1.723***,0.168***,0.187***
10,"Medical 
Apps",Constant,1.665***,4.666***,0.081,0.014
11,"Medical 
Apps",Niche,-0.501***,1.618***,0.145**,0.028
