,Samples,Independent Vars,Log Price,Log Minimum Installs,Offers IAP,Contains Ads
0,Full,Constant,0.463***,9.391***,0.049***,0.386***
1,Full,Niche,-0.145***,1.622***,-0.0,0.2***
2,Full,Post,0.015**,0.18***,0.274***,-0.001
3,Full,PostNiche,-0.012*,0.009,0.149***,-0.001
4,"Gaming 
Apps",Constant,0.303***,12.306***,0.043**,0.682***
5,"Gaming 
Apps",Niche,-0.158***,0.519***,-0.003,0.122***
6,"Gaming 
Apps",Post,0.006**,0.188***,0.456***,-0.001
7,"Gaming 
Apps",PostNiche,-0.004,0.002,0.091***,-0.001
8,"Business 
Apps",Constant,0.492***,9.76***,0.01,0.286***
9,"Business 
Apps",Niche,-0.164***,0.922***,0.001,0.153***
10,"Business 
Apps",Post,-0.003,0.196***,0.259***,-0.001
11,"Business 
Apps",PostNiche,0.006,-0.0,0.089***,-0.003
12,"Social 
Apps",Constant,0.661***,6.742***,-0.032,0.235***
13,"Social 
Apps",Niche,-0.054,1.12***,-0.011,0.074**
14,"Social 
Apps",Post,-0.018,0.206***,0.3***,-0.006
15,"Social 
Apps",PostNiche,0.035**,-0.047,0.027,0.006
16,"Lifestyle 
Apps",Constant,0.581***,8.197***,0.044***,0.332***
17,"Lifestyle 
Apps",Niche,-0.304***,1.953***,0.0,0.203***
18,"Lifestyle 
Apps",Post,0.004,0.176***,0.235***,-0.001
19,"Lifestyle 
Apps",PostNiche,0.002,0.032*,0.149***,-0.001
20,"Medical 
Apps",Constant,1.229***,6.741***,0.091***,0.056
21,"Medical 
Apps",Niche,-0.788***,3.138***,-0.014,0.126***
22,"Medical 
Apps",Post,-0.023,0.098**,0.157***,0.0
23,"Medical 
Apps",PostNiche,0.026,0.055,0.243***,-0.005*
