,,,LogWNImputedprice_202106,LogWNImputedprice_202106,LogWNImputedprice_202106,LogImputedminInstalls_202106,LogImputedminInstalls_202106,LogImputedminInstalls_202106,offersIAPTrue_202106,containsAdsTrue_202106
,,,mean,std,50%,mean,std,50%,mean,mean
,,Leaders_full_NicheDummy,,,,,,,,
Leaders,full,Broad,0.15,0.43,0.06,16.24,1.98,16.12,0.68,0.67
Leaders,full,Niche,0.1,0.32,0.05,16.54,1.55,16.12,0.73,0.74
Leaders,category_GAME,Broad,0.05,0.03,0.05,16.52,1.02,16.12,0.9,1.0
Leaders,category_GAME,Niche,0.16,0.48,0.06,16.27,1.65,16.12,0.87,0.84
Leaders,category_BUSINESS,Broad,0.13,0.28,0.07,15.14,2.15,16.12,0.29,0.25
Leaders,category_BUSINESS,Niche,0.06,0.18,0.05,16.83,1.83,16.12,0.47,0.43
Leaders,category_SOCIAL,Broad,0.07,0.11,0.05,17.07,2.33,16.12,0.38,0.38
Leaders,category_SOCIAL,Niche,0.08,0.17,0.06,16.37,1.81,16.12,0.49,0.58
Leaders,category_LIFESTYLE,Broad,0.07,0.09,0.06,16.21,1.89,16.12,0.6,0.65
Leaders,category_LIFESTYLE,Niche,0.05,0.04,0.05,16.84,1.42,16.12,0.6,0.73
Leaders,category_MEDICAL,Broad,0.05,0.03,0.05,16.2,1.14,16.12,0.75,0.44
Leaders,category_MEDICAL,Niche,0.05,0.03,0.04,16.47,1.36,16.12,0.72,0.72
Non-leaders,full,Broad,0.75,0.93,0.09,10.13,3.54,10.82,0.32,0.21
Non-leaders,full,Niche,0.68,0.84,0.08,11.07,3.1,11.51,0.45,0.35
Non-leaders,category_GAME,Broad,0.81,0.77,0.71,11.44,3.04,11.51,0.5,0.38
Non-leaders,category_GAME,Niche,0.6,0.71,0.08,11.61,3.01,11.51,0.56,0.52
Non-leaders,category_BUSINESS,Broad,0.64,0.85,0.08,10.23,3.39,11.51,0.33,0.24
Non-leaders,category_BUSINESS,Niche,0.74,0.91,0.09,10.96,2.9,11.51,0.38,0.27
Non-leaders,category_SOCIAL,Broad,0.62,1.01,0.08,9.63,3.62,9.21,0.33,0.22
Non-leaders,category_SOCIAL,Niche,0.57,0.89,0.08,10.7,3.63,11.51,0.39,0.3
Non-leaders,category_LIFESTYLE,Broad,0.78,0.89,0.7,9.98,3.27,9.21,0.29,0.23
Non-leaders,category_LIFESTYLE,Niche,0.62,0.8,0.08,11.05,3.0,11.51,0.44,0.37
Non-leaders,category_MEDICAL,Broad,0.84,0.91,0.71,10.45,2.68,9.21,0.45,0.21
Non-leaders,category_MEDICAL,Niche,0.76,1.06,0.08,10.55,3.02,11.51,0.43,0.12
