,,,LogWNImputedprice_202106,LogWNImputedprice_202106,LogWNImputedprice_202106,LogImputedminInstalls_202106,LogImputedminInstalls_202106,LogImputedminInstalls_202106,offersIAPTrue_202106,containsAdsTrue_202106
,,,mean,std,50%,mean,std,50%,mean,mean
,,Leaders_full_cluster_size_bin,,,,,,,,
Leaders,full,"[0, 10]",0.1,0.32,0.05,16.54,1.59,16.12,0.73,0.76
Leaders,full,"(10, 30]",0.1,0.33,0.05,16.69,1.53,16.12,0.78,0.79
Leaders,full,"(30, 100]",0.1,0.3,0.05,16.09,1.38,16.12,0.58,0.49
Leaders,full,"(100, 500]",,,,,,,,
Leaders,full,"(500, 1500]",0.15,0.43,0.06,16.24,1.98,16.12,0.68,0.67
Leaders,category_GAME,"[0, 10]",0.12,0.36,0.05,16.27,1.48,16.12,0.87,0.87
Leaders,category_GAME,"(10, 30]",0.19,0.54,0.06,16.29,1.74,16.12,0.87,0.82
Leaders,category_GAME,"(30, 100]",0.05,0.02,0.04,16.33,1.11,16.12,0.94,1.0
Leaders,category_GAME,"(100, 500]",,,,,,,,
Leaders,category_GAME,"(500, 1500]",,,,,,,,
Leaders,category_BUSINESS,"[0, 10]",0.08,0.3,0.05,16.67,1.96,16.12,0.39,0.42
Leaders,category_BUSINESS,"(10, 30]",0.07,0.12,0.05,16.64,1.93,16.12,0.48,0.4
Leaders,category_BUSINESS,"(30, 100]",,,,,,,,
Leaders,category_BUSINESS,"(100, 500]",,,,,,,,
Leaders,category_BUSINESS,"(500, 1500]",,,,,,,,
Leaders,category_SOCIAL,"[0, 10]",0.11,0.24,0.06,16.29,2.41,16.12,0.45,0.6
Leaders,category_SOCIAL,"(10, 30]",0.06,0.03,0.06,16.45,0.87,16.12,0.53,0.55
Leaders,category_SOCIAL,"(30, 100]",0.07,0.11,0.05,17.07,2.33,16.12,0.38,0.38
Leaders,category_SOCIAL,"(100, 500]",,,,,,,,
Leaders,category_SOCIAL,"(500, 1500]",,,,,,,,
Leaders,category_LIFESTYLE,"[0, 10]",0.06,0.06,0.05,16.68,1.32,16.12,0.59,0.71
Leaders,category_LIFESTYLE,"(10, 30]",0.05,0.02,0.05,17.01,1.51,16.12,0.6,0.75
