,,LogWNImputedprice_202106,LogWNImputedprice_202106,LogWNImputedprice_202106,LogWNImputedprice_202106,LogWNImputedprice_202106,LogWNImputedprice_202106,LogWNImputedprice_202106,LogWNImputedprice_202106,LogImputedminInstalls_202106,LogImputedminInstalls_202106,LogImputedminInstalls_202106,LogImputedminInstalls_202106,LogImputedminInstalls_202106,LogImputedminInstalls_202106,LogImputedminInstalls_202106,LogImputedminInstalls_202106,offersIAPTrue_202106,offersIAPTrue_202106,offersIAPTrue_202106,offersIAPTrue_202106,offersIAPTrue_202106,offersIAPTrue_202106,offersIAPTrue_202106,offersIAPTrue_202106,containsAdsTrue_202106,containsAdsTrue_202106,containsAdsTrue_202106,containsAdsTrue_202106,containsAdsTrue_202106,containsAdsTrue_202106,containsAdsTrue_202106,containsAdsTrue_202106
,,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
,Non-leaders_full_NicheDummy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
full,Broad,1098.0,0.75,0.93,0.01,0.05,0.09,1.39,5.99,1098.0,10.13,3.54,0.69,6.91,10.82,13.82,15.42,1098.0,0.32,0.47,0.0,0.0,0.0,1.0,1.0,1098.0,0.21,0.41,0.0,0.0,0.0,0.0,1.0
full,Niche,6161.0,0.68,0.84,0.01,0.05,0.08,1.39,5.94,6161.0,11.07,3.1,0.69,9.21,11.51,13.82,15.42,6161.0,0.45,0.5,0.0,0.0,0.0,1.0,1.0,6161.0,0.35,0.48,0.0,0.0,0.0,1.0,1.0
category_GAME,Broad,1212.0,0.81,0.77,0.01,0.06,0.71,1.4,3.44,1212.0,11.44,3.04,0.69,9.21,11.51,13.82,15.42,1212.0,0.5,0.5,0.0,0.0,0.0,1.0,1.0,1212.0,0.38,0.49,0.0,0.0,0.0,1.0,1.0
category_GAME,Niche,1028.0,0.6,0.71,0.01,0.05,0.08,1.26,4.26,1028.0,11.61,3.01,0.69,9.21,11.51,13.82,15.42,1028.0,0.56,0.5,0.0,0.0,1.0,1.0,1.0,1028.0,0.52,0.5,0.0,0.0,1.0,1.0,1.0
category_BUSINESS,Broad,227.0,0.64,0.85,0.01,0.05,0.08,1.12,4.57,227.0,10.23,3.39,0.69,7.71,11.51,13.12,15.42,227.0,0.33,0.47,0.0,0.0,0.0,1.0,1.0,227.0,0.24,0.43,0.0,0.0,0.0,0.0,1.0
category_BUSINESS,Niche,1180.0,0.74,0.91,0.01,0.05,0.09,1.41,5.72,1180.0,10.96,2.9,1.79,9.21,11.51,13.82,15.42,1180.0,0.38,0.49,0.0,0.0,0.0,1.0,1.0,1180.0,0.27,0.44,0.0,0.0,0.0,1.0,1.0
category_SOCIAL,Broad,221.0,0.62,1.01,0.01,0.04,0.08,0.94,5.99,221.0,9.63,3.62,0.69,6.91,9.21,13.12,15.42,221.0,0.33,0.47,0.0,0.0,0.0,1.0,1.0,221.0,0.22,0.41,0.0,0.0,0.0,0.0,1.0
category_SOCIAL,Niche,1023.0,0.57,0.89,0.01,0.04,0.08,1.1,5.02,1023.0,10.7,3.63,0.69,8.52,11.51,13.82,15.42,1023.0,0.39,0.49,0.0,0.0,0.0,1.0,1.0,1023.0,0.3,0.46,0.0,0.0,0.0,1.0,1.0
category_LIFESTYLE,Broad,687.0,0.78,0.89,0.01,0.05,0.7,1.39,5.99,687.0,9.98,3.27,1.79,6.91,9.21,13.12,15.42,687.0,0.29,0.46,0.0,0.0,0.0,1.0,1.0,687.0,0.23,0.42,0.0,0.0,0.0,0.0,1.0
category_LIFESTYLE,Niche,1245.0,0.62,0.8,0.01,0.05,0.08,1.12,4.39,1245.0,11.05,3.0,0.69,9.21,11.51,13.82,15.42,1245.0,0.44,0.5,0.0,0.0,0.0,1.0,1.0,1245.0,0.37,0.48,0.0,0.0,0.0,1.0,1.0
category_MEDICAL,Broad,29.0,0.84,0.91,0.02,0.05,0.71,1.4,3.4,29.0,10.45,2.68,4.62,8.52,9.21,13.12,13.82,29.0,0.45,0.51,0.0,0.0,0.0,1.0,1.0,29.0,0.21,0.41,0.0,0.0,0.0,0.0,1.0
category_MEDICAL,Niche,407.0,0.76,1.06,0.01,0.05,0.08,1.4,5.53,407.0,10.55,3.02,1.79,8.52,11.51,13.12,15.42,407.0,0.43,0.5,0.0,0.0,0.0,1.0,1.0,407.0,0.12,0.32,0.0,0.0,0.0,0.0,1.0
