,,LogWNImputedprice_202106,LogWNImputedprice_202106,LogWNImputedprice_202106,LogWNImputedprice_202106,LogWNImputedprice_202106,LogWNImputedprice_202106,LogWNImputedprice_202106,LogWNImputedprice_202106,LogImputedminInstalls_202106,LogImputedminInstalls_202106,LogImputedminInstalls_202106,LogImputedminInstalls_202106,LogImputedminInstalls_202106,LogImputedminInstalls_202106,LogImputedminInstalls_202106,LogImputedminInstalls_202106,offersIAPTrue_202106,offersIAPTrue_202106,offersIAPTrue_202106,offersIAPTrue_202106,offersIAPTrue_202106,offersIAPTrue_202106,offersIAPTrue_202106,offersIAPTrue_202106,containsAdsTrue_202106,containsAdsTrue_202106,containsAdsTrue_202106,containsAdsTrue_202106,containsAdsTrue_202106,containsAdsTrue_202106,containsAdsTrue_202106,containsAdsTrue_202106
,,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
,Non-leaders_full_cluster_size_bin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
full,"[0, 10]",349.0,0.61,0.77,0.01,0.05,0.08,1.12,3.71,349.0,11.16,2.81,2.4,9.21,11.51,13.82,15.42,349.0,0.5,0.5,0.0,0.0,0.0,1.0,1.0,349.0,0.4,0.49,0.0,0.0,0.0,1.0,1.0
full,"(10, 30]",2151.0,0.64,0.81,0.01,0.05,0.08,1.27,5.02,2151.0,10.95,3.21,0.69,9.21,11.51,13.82,15.42,2151.0,0.42,0.49,0.0,0.0,0.0,1.0,1.0,2151.0,0.38,0.48,0.0,0.0,0.0,1.0,1.0
full,"(30, 100]",2555.0,0.66,0.87,0.01,0.05,0.08,1.39,5.94,2555.0,11.27,3.08,0.69,9.21,11.51,13.82,15.42,2555.0,0.46,0.5,0.0,0.0,0.0,1.0,1.0,2555.0,0.37,0.48,0.0,0.0,0.0,1.0,1.0
full,"(100, 500]",1106.0,0.81,0.84,0.01,0.06,0.71,1.4,4.62,1106.0,10.81,3.0,0.69,9.21,10.82,13.82,15.42,1106.0,0.46,0.5,0.0,0.0,0.0,1.0,1.0,1106.0,0.24,0.43,0.0,0.0,0.0,0.0,1.0
full,"(500, 1500]",1098.0,0.75,0.93,0.01,0.05,0.09,1.39,5.99,1098.0,10.13,3.54,0.69,6.91,10.82,13.82,15.42,1098.0,0.32,0.47,0.0,0.0,0.0,1.0,1.0,1098.0,0.21,0.41,0.0,0.0,0.0,0.0,1.0
category_GAME,"[0, 10]",103.0,0.56,0.73,0.01,0.04,0.07,1.12,2.41,103.0,11.83,3.09,3.93,9.21,13.12,13.82,15.42,103.0,0.55,0.5,0.0,0.0,1.0,1.0,1.0,103.0,0.55,0.5,0.0,0.0,1.0,1.0,1.0
category_GAME,"(10, 30]",359.0,0.64,0.72,0.01,0.05,0.09,1.26,4.26,359.0,11.56,2.86,3.93,9.21,11.51,13.82,15.42,359.0,0.51,0.5,0.0,0.0,1.0,1.0,1.0,359.0,0.55,0.5,0.0,0.0,1.0,1.0,1.0
category_GAME,"(30, 100]",566.0,0.58,0.7,0.01,0.05,0.08,1.22,3.58,566.0,11.59,3.1,0.69,9.21,11.51,13.82,15.42,566.0,0.59,0.49,0.0,0.0,1.0,1.0,1.0,566.0,0.49,0.5,0.0,0.0,0.0,1.0,1.0
category_GAME,"(100, 500]",0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,
category_GAME,"(500, 1500]",1212.0,0.81,0.77,0.01,0.06,0.71,1.4,3.44,1212.0,11.44,3.04,0.69,9.21,11.51,13.82,15.42,1212.0,0.5,0.5,0.0,0.0,0.0,1.0,1.0,1212.0,0.38,0.49,0.0,0.0,0.0,1.0,1.0
category_BUSINESS,"[0, 10]",74.0,0.72,0.79,0.01,0.05,0.09,1.59,2.4,74.0,11.35,2.8,4.62,9.21,11.51,13.82,15.42,74.0,0.51,0.5,0.0,0.0,1.0,1.0,1.0,74.0,0.58,0.5,0.0,0.0,1.0,1.0,1.0
category_BUSINESS,"(10, 30]",762.0,0.79,0.94,0.01,0.05,0.09,1.52,5.72,762.0,10.83,2.94,2.4,9.21,11.51,13.82,15.42,762.0,0.37,0.48,0.0,0.0,0.0,1.0,1.0,762.0,0.25,0.43,0.0,0.0,0.0,0.0,1.0
category_BUSINESS,"(30, 100]",428.0,0.58,0.84,0.01,0.05,0.08,1.12,5.02,428.0,11.17,2.88,1.79,9.21,11.51,13.82,15.42,428.0,0.39,0.49,0.0,0.0,0.0,1.0,1.0,428.0,0.22,0.42,0.0,0.0,0.0,0.0,1.0
category_BUSINESS,"(100, 500]",143.0,0.75,0.93,0.01,0.05,0.09,1.24,4.57,143.0,9.64,3.45,0.69,6.91,10.82,11.51,15.42,143.0,0.3,0.46,0.0,0.0,0.0,1.0,1.0,143.0,0.29,0.46,0.0,0.0,0.0,1.0,1.0
category_BUSINESS,"(500, 1500]",0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,
category_SOCIAL,"[0, 10]",41.0,0.35,0.65,0.02,0.05,0.07,0.09,2.77,41.0,11.77,2.55,4.62,10.82,11.51,13.82,15.42,41.0,0.54,0.5,0.0,0.0,1.0,1.0,1.0,41.0,0.24,0.43,0.0,0.0,0.0,0.0,1.0
category_SOCIAL,"(10, 30]",481.0,0.59,0.98,0.01,0.04,0.07,0.92,5.02,481.0,10.24,3.99,0.69,6.91,11.51,13.82,15.42,481.0,0.33,0.47,0.0,0.0,0.0,1.0,1.0,481.0,0.26,0.44,0.0,0.0,0.0,1.0,1.0
category_SOCIAL,"(30, 100]",501.0,0.58,0.82,0.01,0.04,0.08,1.12,4.56,501.0,11.05,3.26,2.4,9.21,11.51,13.82,15.42,501.0,0.44,0.5,0.0,0.0,0.0,1.0,1.0,501.0,0.35,0.48,0.0,0.0,0.0,1.0,1.0
category_SOCIAL,"(100, 500]",221.0,0.62,1.01,0.01,0.04,0.08,0.94,5.99,221.0,9.63,3.62,0.69,6.91,9.21,13.12,15.42,221.0,0.33,0.47,0.0,0.0,0.0,1.0,1.0,221.0,0.22,0.41,0.0,0.0,0.0,0.0,1.0
category_SOCIAL,"(500, 1500]",0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,
category_LIFESTYLE,"[0, 10]",306.0,0.69,0.86,0.01,0.05,0.08,1.12,4.39,306.0,10.67,3.16,0.69,8.52,11.51,13.82,15.42,306.0,0.42,0.49,0.0,0.0,0.0,1.0,1.0,306.0,0.35,0.48,0.0,0.0,0.0,1.0,1.0
