,Samples,Independent Vars,"Log Price Adjusted 
With White Noise",Log Minimum Installs,Offers IAP,Contains Ads
0,"Leaders 
Full",Constant,0.382***,14.181***,0.217,0.29**
1,"Leaders 
Full",Niche,-0.041**,0.271***,0.043*,0.05**
2,"Leaders 
Gaming Apps",Constant,0.376,14.421***,0.363*,0.403*
3,"Leaders 
Gaming Apps",Niche,0.11***,-0.262*,-0.035,-0.143***
4,"Leaders 
Business Apps",Constant,0.201*,14.476***,-0.515*,-0.276
5,"Leaders 
Business Apps",Niche,-0.053,1.29***,0.166*,0.156*
6,"Leaders 
Social Apps",Constant,0.568**,13.944***,0.508,0.449
7,"Leaders 
Social Apps",Niche,0.021,-0.466,0.074,0.188**
8,"Leaders 
Lifestyle Apps",Constant,0.204**,12.872***,0.11,0.062
9,"Leaders 
Lifestyle Apps",Niche,-0.004,0.505**,-0.031,0.029
10,"Leaders 
Medical Apps",Constant,0.017,16.724***,-2.015**,-1.347
11,"Leaders 
Medical Apps",Niche,-0.01,-0.234,-0.077,0.071
