,Samples,Independent Vars,"Log Price Adjusted 
With White Noise",Log Minimum Installs,Offers IAP,Contains Ads
0,"Leaders 
Full",Constant,0.1***,15.279***,0.032*,0.828***
1,"Leaders 
Full",Niche,-0.05**,0.334***,0.006,0.066***
2,"Leaders 
Full",Post,-0.002*,0.207***,0.558***,-0.0
3,"Leaders 
Full",PostNiche,0.001,-0.024,0.039**,-0.005***
4,"Leaders 
Gaming Apps",Constant,-0.092**,15.951***,-0.008,1.118***
5,"Leaders 
Gaming Apps",Niche,0.109***,-0.278*,0.007,-0.151***
6,"Leaders 
Gaming Apps",Post,0.001,0.166***,0.746***,-0.0
7,"Leaders 
Gaming Apps",PostNiche,-0.002,0.021,-0.036,-0.002*
8,"Leaders 
Business Apps",Constant,0.126*,13.867***,0.007,0.396***
9,"Leaders 
Business Apps",Niche,-0.064,1.756***,0.012,0.193**
10,"Leaders 
Business Apps",Post,0.001,0.286***,0.242***,-0.001
11,"Leaders 
Business Apps",PostNiche,-0.003,-0.062,0.146*,-0.013**
12,"Leaders 
Social Apps",Constant,0.124***,15.503***,-0.071,0.285**
13,"Leaders 
Social Apps",Niche,0.012,-0.602*,-0.055*,0.167**
14,"Leaders 
Social Apps",Post,0.001,0.181***,0.282***,-0.006
15,"Leaders 
Social Apps",PostNiche,0.0,-0.038,0.125**,0.006
16,"Leaders 
Lifestyle Apps",Constant,0.076***,14.827***,0.065,0.745***
17,"Leaders 
Lifestyle Apps",Niche,-0.008,0.575**,0.025**,0.07
18,"Leaders 
Lifestyle Apps",Post,0.002,0.122***,0.5***,0.0
19,"Leaders 
Lifestyle Apps",PostNiche,-0.003*,0.097**,-0.026,-0.005
20,"Leaders 
Medical Apps",Constant,0.058***,15.627***,0.151,0.822***
21,"Leaders 
Medical Apps",Niche,-0.002,0.317,-0.025,0.133
22,"Leaders 
Medical Apps",Post,-0.002,0.108***,0.615***,-0.01
23,"Leaders 
Medical Apps",PostNiche,0.002,0.015,-0.044,0.011
