,,,LogWNImputedprice_202106,LogWNImputedprice_202106,LogWNImputedprice_202106,LogImputedminInstalls_202106,LogImputedminInstalls_202106,LogImputedminInstalls_202106,offersIAPTrue_202106,containsAdsTrue_202106
,,,mean,50%,std,mean,50%,std,mean,mean
,,full_full_NicheDummy,,,,,,,,
combo1,full_full,Niche,0.55,0.08,0.79,12.31,13.12,3.63,0.51,0.44
combo1,full_full,Broad,0.7,0.09,0.95,10.66,11.51,3.94,0.33,0.24
combo1,minInstalls_Tier1,Niche,0.05,0.05,0.06,16.8,16.12,1.15,0.73,0.76
combo1,minInstalls_Tier1,Broad,0.06,0.06,0.02,16.86,16.12,1.0,0.79,0.84
combo1,minInstalls_Tier2,Niche,0.2,0.06,0.48,13.41,13.82,1.33,0.62,0.56
combo1,minInstalls_Tier2,Broad,0.35,0.06,0.62,13.2,13.82,1.39,0.53,0.41
combo1,minInstalls_Tier3,Niche,1.23,1.26,0.84,8.06,8.52,2.12,0.24,0.1
combo1,minInstalls_Tier3,Broad,1.27,1.25,0.92,7.91,8.52,2.22,0.19,0.06
combo2,starDeveloper_top_digital_firms,Niche,0.37,0.06,0.8,15.99,16.12,2.82,0.51,0.41
combo2,starDeveloper_top_digital_firms,Broad,0.29,0.06,0.64,15.73,16.12,3.2,0.52,0.37
combo2,starDeveloper_non-top_digital_firms,Niche,0.57,0.08,0.79,12.13,13.12,3.55,0.53,0.45
combo2,starDeveloper_non-top_digital_firms,Broad,0.62,0.08,0.9,11.01,11.51,3.87,0.32,0.27
combo3,categories_category_GAME,Niche,0.49,0.07,0.71,13.16,13.82,3.41,0.66,0.6
combo3,categories_category_GAME,Broad,0.68,0.09,0.75,12.64,13.12,3.63,0.56,0.47
combo3,categories_category_BUSINESS,Niche,0.58,0.08,0.84,12.08,11.51,3.39,0.42,0.33
combo3,categories_category_BUSINESS,Broad,0.7,0.08,0.91,11.09,11.51,3.83,0.31,0.19
combo3,categories_category_SOCIAL,Niche,0.51,0.07,0.87,11.51,11.51,4.07,0.4,0.33
combo3,categories_category_SOCIAL,Broad,0.51,0.06,0.85,10.65,11.51,3.96,0.37,0.25
combo3,categories_category_LIFESTYLE,Niche,0.5,0.07,0.75,12.18,13.12,3.56,0.47,0.44
combo3,categories_category_LIFESTYLE,Broad,0.8,0.7,0.89,10.17,9.21,3.7,0.29,0.23
combo3,categories_category_MEDICAL,Niche,0.61,0.07,0.94,11.54,11.51,3.21,0.49,0.19
combo3,categories_category_MEDICAL,Broad,1.39,1.25,1.35,8.1,6.91,3.53,0.19,0.06
