,,LogWNImputedprice_202106,LogWNImputedprice_202106,LogWNImputedprice_202106,LogWNImputedprice_202106,LogWNImputedprice_202106,LogWNImputedprice_202106,LogWNImputedprice_202106,LogWNImputedprice_202106,LogImputedminInstalls_202106,LogImputedminInstalls_202106,LogImputedminInstalls_202106,LogImputedminInstalls_202106,LogImputedminInstalls_202106,LogImputedminInstalls_202106,LogImputedminInstalls_202106,LogImputedminInstalls_202106,offersIAPTrue_202106,offersIAPTrue_202106,offersIAPTrue_202106,offersIAPTrue_202106,offersIAPTrue_202106,offersIAPTrue_202106,offersIAPTrue_202106,offersIAPTrue_202106,containsAdsTrue_202106,containsAdsTrue_202106,containsAdsTrue_202106,containsAdsTrue_202106,containsAdsTrue_202106,containsAdsTrue_202106,containsAdsTrue_202106,containsAdsTrue_202106
,,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
,full_full_cluster_size_bin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
full_full,"[0, 10]",390.0,0.53,0.74,0.01,0.04,0.08,1.11,3.4,390.0,11.84,3.78,2.4,9.21,11.51,15.42,20.03,390.0,0.52,0.5,0.0,0.0,1.0,1.0,1.0,390.0,0.46,0.5,0.0,0.0,0.0,1.0,1.0
full_full,"(10, 30]",2815.0,0.49,0.74,0.01,0.04,0.07,0.74,5.02,2815.0,12.36,3.65,0.69,9.21,13.12,15.42,22.33,2815.0,0.52,0.5,0.0,0.0,1.0,1.0,1.0,2815.0,0.49,0.5,0.0,0.0,0.0,1.0,1.0
full_full,"(30, 100]",3710.0,0.55,0.81,0.01,0.04,0.07,1.11,5.94,3710.0,12.33,3.62,0.69,9.21,13.12,15.42,22.33,3710.0,0.49,0.5,0.0,0.0,0.0,1.0,1.0,3710.0,0.42,0.49,0.0,0.0,0.0,1.0,1.0
full_full,"(100, 500]",1177.0,0.65,0.81,0.01,0.05,0.09,1.39,4.62,1177.0,12.3,3.52,0.69,9.21,11.51,15.42,20.72,1177.0,0.55,0.5,0.0,0.0,1.0,1.0,1.0,1177.0,0.33,0.47,0.0,0.0,0.0,1.0,1.0
full_full,"(500, 1500]",1138.0,0.7,0.95,0.01,0.05,0.09,1.27,5.99,1138.0,10.66,3.94,0.69,6.91,11.51,13.82,22.33,1138.0,0.33,0.47,0.0,0.0,0.0,1.0,1.0,1138.0,0.24,0.43,0.0,0.0,0.0,0.0,1.0
categories_category_GAME,"[0, 10]",0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,
categories_category_GAME,"(10, 30]",236.0,0.46,0.62,0.01,0.04,0.08,0.73,2.4,236.0,12.69,3.4,2.4,9.21,13.82,15.42,18.42,236.0,0.64,0.48,0.0,0.0,1.0,1.0,1.0,236.0,0.66,0.47,0.0,0.0,1.0,1.0,1.0
categories_category_GAME,"(30, 100]",1284.0,0.37,0.6,0.01,0.04,0.07,0.09,4.26,1284.0,13.64,3.28,1.79,11.51,13.82,16.12,20.72,1284.0,0.72,0.45,0.0,0.0,1.0,1.0,1.0,1284.0,0.69,0.46,0.0,0.0,1.0,1.0,1.0
categories_category_GAME,"(100, 500]",1773.0,0.67,0.79,0.01,0.05,0.09,1.4,3.58,1773.0,12.65,3.54,0.69,9.21,13.82,16.12,20.72,1773.0,0.58,0.49,0.0,0.0,1.0,1.0,1.0,1773.0,0.48,0.5,0.0,0.0,0.0,1.0,1.0
categories_category_GAME,"(500, 1500]",0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,
categories_category_BUSINESS,"[0, 10]",604.0,0.6,0.89,0.01,0.04,0.08,1.13,5.72,604.0,12.42,3.36,2.4,9.21,13.12,15.42,20.72,604.0,0.42,0.49,0.0,0.0,0.0,1.0,1.0,604.0,0.32,0.47,0.0,0.0,0.0,1.0,1.0
categories_category_BUSINESS,"(10, 30]",433.0,0.55,0.76,0.01,0.05,0.08,1.11,3.59,433.0,11.54,3.37,2.4,9.21,11.51,13.82,22.33,433.0,0.49,0.5,0.0,0.0,0.0,1.0,1.0,433.0,0.33,0.47,0.0,0.0,0.0,1.0,1.0
categories_category_BUSINESS,"(30, 100]",110.0,0.55,0.85,0.01,0.04,0.08,1.1,3.26,110.0,12.29,3.41,2.4,9.21,13.12,13.82,20.72,110.0,0.12,0.32,0.0,0.0,0.0,0.0,1.0,110.0,0.35,0.48,0.0,0.0,0.0,1.0,1.0
categories_category_BUSINESS,"(100, 500]",0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,
categories_category_BUSINESS,"(500, 1500]",527.0,0.7,0.91,0.01,0.04,0.08,1.39,5.02,527.0,11.09,3.83,0.69,8.52,11.51,13.82,22.33,527.0,0.31,0.46,0.0,0.0,0.0,1.0,1.0,527.0,0.19,0.39,0.0,0.0,0.0,0.0,1.0
categories_category_SOCIAL,"[0, 10]",22.0,0.68,0.78,0.02,0.06,0.09,1.32,2.78,22.0,10.72,3.04,4.62,9.21,11.51,13.82,15.42,22.0,0.32,0.48,0.0,0.0,0.0,1.0,1.0,22.0,0.45,0.51,0.0,0.0,0.0,1.0,1.0
categories_category_SOCIAL,"(10, 30]",218.0,0.52,0.77,0.01,0.04,0.07,1.11,4.19,218.0,11.05,4.58,0.69,8.52,11.51,13.82,22.33,218.0,0.39,0.49,0.0,0.0,0.0,1.0,1.0,218.0,0.31,0.46,0.0,0.0,0.0,1.0,1.0
categories_category_SOCIAL,"(30, 100]",783.0,0.45,0.91,0.01,0.04,0.07,0.09,5.99,783.0,11.91,3.94,0.69,9.21,13.12,13.82,22.33,783.0,0.42,0.49,0.0,0.0,0.0,1.0,1.0,783.0,0.32,0.47,0.0,0.0,0.0,1.0,1.0
categories_category_SOCIAL,"(100, 500]",434.0,0.6,0.82,0.01,0.04,0.08,1.11,5.23,434.0,10.67,3.93,0.69,6.91,11.51,13.82,20.72,434.0,0.34,0.47,0.0,0.0,0.0,1.0,1.0,434.0,0.31,0.46,0.0,0.0,0.0,1.0,1.0
categories_category_SOCIAL,"(500, 1500]",0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,
categories_category_LIFESTYLE,"[0, 10]",810.0,0.51,0.76,0.01,0.04,0.07,0.94,4.75,810.0,12.14,3.52,0.69,9.21,13.12,15.42,22.33,810.0,0.44,0.5,0.0,0.0,0.0,1.0,1.0,810.0,0.46,0.5,0.0,0.0,0.0,1.0,1.0
categories_category_LIFESTYLE,"(10, 30]",725.0,0.49,0.72,0.01,0.05,0.07,0.8,4.11,725.0,12.13,3.51,0.69,9.21,13.12,13.82,22.33,725.0,0.47,0.5,0.0,0.0,0.0,1.0,1.0,725.0,0.43,0.5,0.0,0.0,0.0,1.0,1.0
categories_category_LIFESTYLE,"(30, 100]",190.0,0.54,0.81,0.01,0.04,0.07,1.11,4.11,190.0,12.55,3.95,2.4,9.21,12.32,15.94,22.33,190.0,0.56,0.5,0.0,0.0,1.0,1.0,1.0,190.0,0.37,0.49,0.0,0.0,0.0,1.0,1.0
categories_category_LIFESTYLE,"(100, 500]",0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,
categories_category_LIFESTYLE,"(500, 1500]",588.0,0.8,0.89,0.01,0.06,0.7,1.4,5.99,588.0,10.17,3.7,2.4,6.91,9.21,13.82,20.72,588.0,0.29,0.45,0.0,0.0,0.0,1.0,1.0,588.0,0.23,0.42,0.0,0.0,0.0,0.0,1.0
categories_category_MEDICAL,"[0, 10]",175.0,0.71,1.04,0.01,0.05,0.07,1.52,4.62,175.0,11.61,3.35,2.4,9.21,11.51,13.82,20.72,175.0,0.41,0.49,0.0,0.0,0.0,1.0,1.0,175.0,0.23,0.42,0.0,0.0,0.0,0.0,1.0
categories_category_MEDICAL,"(10, 30]",271.0,0.54,0.87,0.01,0.04,0.07,1.1,4.21,271.0,11.5,3.13,1.79,9.21,11.51,13.82,18.42,271.0,0.55,0.5,0.0,0.0,1.0,1.0,1.0,271.0,0.15,0.36,0.0,0.0,0.0,0.0,1.0
categories_category_MEDICAL,"(30, 100]",47.0,1.39,1.35,0.02,0.08,1.25,1.95,5.53,47.0,8.1,3.53,1.79,5.42,6.91,10.82,16.12,47.0,0.19,0.4,0.0,0.0,0.0,0.0,1.0,47.0,0.06,0.25,0.0,0.0,0.0,0.0,1.0
categories_category_MEDICAL,"(100, 500]",0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,
categories_category_MEDICAL,"(500, 1500]",0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,
