,,LogWNImputedprice_202106,LogWNImputedprice_202106,LogWNImputedprice_202106,LogWNImputedprice_202106,LogWNImputedprice_202106,LogWNImputedprice_202106,LogWNImputedprice_202106,LogWNImputedprice_202106,LogImputedminInstalls_202106,LogImputedminInstalls_202106,LogImputedminInstalls_202106,LogImputedminInstalls_202106,LogImputedminInstalls_202106,LogImputedminInstalls_202106,LogImputedminInstalls_202106,LogImputedminInstalls_202106,offersIAPTrue_202106,offersIAPTrue_202106,offersIAPTrue_202106,offersIAPTrue_202106,offersIAPTrue_202106,offersIAPTrue_202106,offersIAPTrue_202106,offersIAPTrue_202106,containsAdsTrue_202106,containsAdsTrue_202106,containsAdsTrue_202106,containsAdsTrue_202106,containsAdsTrue_202106,containsAdsTrue_202106,containsAdsTrue_202106,containsAdsTrue_202106
,,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
,genreId_ART_AND_DESIGN_NicheDummy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
genreId_ART_AND_DESIGN,Broad,32.0,0.45,0.78,0.01,0.04,0.07,0.25,3.22,32.0,11.57,3.56,4.62,9.04,13.12,13.82,16.12,32.0,0.53,0.51,0.0,0.0,1.0,1.0,1.0,32.0,0.5,0.51,0.0,0.0,0.5,1.0,1.0
genreId_ART_AND_DESIGN,Niche,135.0,0.44,0.63,0.01,0.05,0.08,0.9,2.4,135.0,11.32,3.87,0.69,9.21,13.12,13.82,18.42,135.0,0.43,0.5,0.0,0.0,0.0,1.0,1.0,135.0,0.55,0.5,0.0,0.0,1.0,1.0,1.0
genreId_COMICS,Broad,57.0,0.26,0.56,0.01,0.04,0.07,0.08,2.78,57.0,12.26,2.43,6.91,10.82,13.12,13.82,16.12,57.0,0.72,0.45,0.0,0.0,1.0,1.0,1.0,57.0,0.67,0.48,0.0,0.0,1.0,1.0,1.0
genreId_COMICS,Niche,18.0,0.3,0.58,0.01,0.03,0.06,0.09,1.81,18.0,13.24,2.31,9.21,11.92,13.82,15.02,16.12,18.0,0.61,0.5,0.0,0.0,1.0,1.0,1.0,18.0,0.5,0.51,0.0,0.0,0.5,1.0,1.0
genreId_PERSONALIZATION,Broad,72.0,0.55,0.54,0.01,0.06,0.7,0.93,2.2,72.0,10.92,4.41,0.69,6.91,11.51,13.82,18.42,72.0,0.26,0.44,0.0,0.0,0.0,1.0,1.0,72.0,0.44,0.5,0.0,0.0,0.0,1.0,1.0
genreId_PERSONALIZATION,Niche,196.0,0.64,0.58,0.01,0.06,0.72,0.97,3.5,196.0,11.05,3.34,4.62,9.21,10.82,13.82,18.42,196.0,0.46,0.5,0.0,0.0,0.0,1.0,1.0,196.0,0.41,0.49,0.0,0.0,0.0,1.0,1.0
genreId_PHOTOGRAPHY,Broad,66.0,0.61,0.63,0.02,0.05,0.09,1.13,1.95,66.0,13.01,3.91,6.22,9.21,13.82,16.12,18.42,66.0,0.47,0.5,0.0,0.0,0.0,1.0,1.0,66.0,0.36,0.48,0.0,0.0,0.0,1.0,1.0
genreId_PHOTOGRAPHY,Niche,136.0,0.65,0.85,0.01,0.04,0.08,1.39,3.44,136.0,13.51,3.46,6.91,10.82,13.82,16.12,22.33,136.0,0.4,0.49,0.0,0.0,0.0,1.0,1.0,136.0,0.39,0.49,0.0,0.0,0.0,1.0,1.0
genreId_AUTO_AND_VEHICLES,Broad,33.0,0.36,0.71,0.01,0.04,0.07,0.08,2.77,33.0,10.79,3.9,2.4,6.91,11.51,13.82,20.72,33.0,0.3,0.47,0.0,0.0,0.0,1.0,1.0,33.0,0.36,0.49,0.0,0.0,0.0,1.0,1.0
