,,LogWNImputedprice_202106,LogWNImputedprice_202106,LogWNImputedprice_202106,LogWNImputedprice_202106,LogWNImputedprice_202106,LogWNImputedprice_202106,LogWNImputedprice_202106,LogWNImputedprice_202106,LogImputedminInstalls_202106,LogImputedminInstalls_202106,LogImputedminInstalls_202106,LogImputedminInstalls_202106,LogImputedminInstalls_202106,LogImputedminInstalls_202106,LogImputedminInstalls_202106,LogImputedminInstalls_202106,offersIAPTrue_202106,offersIAPTrue_202106,offersIAPTrue_202106,offersIAPTrue_202106,offersIAPTrue_202106,offersIAPTrue_202106,offersIAPTrue_202106,offersIAPTrue_202106,containsAdsTrue_202106,containsAdsTrue_202106,containsAdsTrue_202106,containsAdsTrue_202106,containsAdsTrue_202106,containsAdsTrue_202106,containsAdsTrue_202106,containsAdsTrue_202106
,,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
,genreId_ART_AND_DESIGN_cluster_size_bin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
genreId_ART_AND_DESIGN,"[0, 10]",41.0,0.34,0.61,0.02,0.04,0.06,0.09,2.21,41.0,11.37,3.75,2.4,9.21,13.12,13.82,18.42,41.0,0.37,0.49,0.0,0.0,0.0,1.0,1.0,41.0,0.63,0.49,0.0,0.0,1.0,1.0,1.0
genreId_ART_AND_DESIGN,"(10, 30]",94.0,0.48,0.63,0.01,0.05,0.08,1.0,2.4,94.0,11.3,3.94,0.69,9.21,12.32,13.82,18.42,94.0,0.46,0.5,0.0,0.0,0.0,1.0,1.0,94.0,0.51,0.5,0.0,0.0,1.0,1.0,1.0
genreId_ART_AND_DESIGN,"(30, 100]",32.0,0.45,0.78,0.01,0.04,0.07,0.25,3.22,32.0,11.57,3.56,4.62,9.04,13.12,13.82,16.12,32.0,0.53,0.51,0.0,0.0,1.0,1.0,1.0,32.0,0.5,0.51,0.0,0.0,0.5,1.0,1.0
genreId_ART_AND_DESIGN,"(100, 500]",0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,
genreId_ART_AND_DESIGN,"(500, 1500]",0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,
genreId_COMICS,"[0, 10]",18.0,0.3,0.58,0.01,0.03,0.06,0.09,1.81,18.0,13.24,2.31,9.21,11.92,13.82,15.02,16.12,18.0,0.61,0.5,0.0,0.0,1.0,1.0,1.0,18.0,0.5,0.51,0.0,0.0,0.5,1.0,1.0
genreId_COMICS,"(10, 30]",57.0,0.26,0.56,0.01,0.04,0.07,0.08,2.78,57.0,12.26,2.43,6.91,10.82,13.12,13.82,16.12,57.0,0.72,0.45,0.0,0.0,1.0,1.0,1.0,57.0,0.67,0.48,0.0,0.0,1.0,1.0,1.0
genreId_COMICS,"(30, 100]",0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,
genreId_COMICS,"(100, 500]",0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,
genreId_COMICS,"(500, 1500]",0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,
genreId_PERSONALIZATION,"[0, 10]",94.0,0.62,0.58,0.01,0.05,0.7,0.99,2.36,94.0,11.41,3.38,4.62,9.21,11.17,13.82,18.42,94.0,0.37,0.49,0.0,0.0,0.0,1.0,1.0,94.0,0.37,0.49,0.0,0.0,0.0,1.0,1.0
genreId_PERSONALIZATION,"(10, 30]",102.0,0.67,0.58,0.01,0.07,0.72,0.92,3.5,102.0,10.72,3.28,4.62,8.52,9.21,13.82,17.73,102.0,0.54,0.5,0.0,0.0,1.0,1.0,1.0,102.0,0.45,0.5,0.0,0.0,0.0,1.0,1.0
genreId_PERSONALIZATION,"(30, 100]",72.0,0.55,0.54,0.01,0.06,0.7,0.93,2.2,72.0,10.92,4.41,0.69,6.91,11.51,13.82,18.42,72.0,0.26,0.44,0.0,0.0,0.0,1.0,1.0,72.0,0.44,0.5,0.0,0.0,0.0,1.0,1.0
genreId_PERSONALIZATION,"(100, 500]",0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,
genreId_PERSONALIZATION,"(500, 1500]",0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,
