,,,LogWNImputedprice_202106,LogWNImputedprice_202106,LogWNImputedprice_202106,LogImputedminInstalls_202106,LogImputedminInstalls_202106,LogImputedminInstalls_202106,offersIAPTrue_202106,containsAdsTrue_202106
,,,mean,50%,std,mean,50%,std,mean,mean
,,Leaders_full_NicheDummy,,,,,,,,
Leaders,full,Niche,0.1,0.05,0.32,16.54,16.12,1.55,0.73,0.74
Leaders,full,Broad,0.15,0.06,0.43,16.24,16.12,1.98,0.68,0.67
Leaders,category_GAME,Niche,0.16,0.06,0.48,16.27,16.12,1.65,0.87,0.84
Leaders,category_GAME,Broad,0.05,0.05,0.03,16.52,16.12,1.02,0.9,1.0
Leaders,category_BUSINESS,Niche,0.06,0.05,0.18,16.83,16.12,1.83,0.47,0.43
Leaders,category_BUSINESS,Broad,0.13,0.07,0.28,15.14,16.12,2.15,0.29,0.25
Leaders,category_SOCIAL,Niche,0.08,0.06,0.17,16.37,16.12,1.81,0.49,0.58
Leaders,category_SOCIAL,Broad,0.07,0.05,0.11,17.07,16.12,2.33,0.38,0.38
Leaders,category_LIFESTYLE,Niche,0.05,0.05,0.04,16.84,16.12,1.42,0.6,0.73
Leaders,category_LIFESTYLE,Broad,0.07,0.06,0.09,16.21,16.12,1.89,0.6,0.65
Leaders,category_MEDICAL,Niche,0.05,0.04,0.03,16.47,16.12,1.36,0.72,0.72
Leaders,category_MEDICAL,Broad,0.05,0.05,0.03,16.2,16.12,1.14,0.75,0.44
Non-leaders,full,Niche,0.68,0.08,0.84,11.07,11.51,3.1,0.45,0.35
Non-leaders,full,Broad,0.75,0.09,0.93,10.13,10.82,3.54,0.32,0.21
Non-leaders,category_GAME,Niche,0.6,0.08,0.71,11.61,11.51,3.01,0.56,0.52
Non-leaders,category_GAME,Broad,0.81,0.71,0.77,11.44,11.51,3.04,0.5,0.38
Non-leaders,category_BUSINESS,Niche,0.74,0.09,0.91,10.96,11.51,2.9,0.38,0.27
Non-leaders,category_BUSINESS,Broad,0.64,0.08,0.85,10.23,11.51,3.39,0.33,0.24
Non-leaders,category_SOCIAL,Niche,0.57,0.08,0.89,10.7,11.51,3.63,0.39,0.3
Non-leaders,category_SOCIAL,Broad,0.62,0.08,1.01,9.63,9.21,3.62,0.33,0.22
Non-leaders,category_LIFESTYLE,Niche,0.62,0.08,0.8,11.05,11.51,3.0,0.44,0.37
Non-leaders,category_LIFESTYLE,Broad,0.78,0.7,0.89,9.98,9.21,3.27,0.29,0.23
Non-leaders,category_MEDICAL,Niche,0.76,0.08,1.06,10.55,11.51,3.02,0.43,0.12
Non-leaders,category_MEDICAL,Broad,0.84,0.71,0.91,10.45,9.21,2.68,0.45,0.21
