,,LogWNImputedprice_202106,LogWNImputedprice_202106,LogWNImputedprice_202106,LogWNImputedprice_202106,LogWNImputedprice_202106,LogWNImputedprice_202106,LogWNImputedprice_202106,LogWNImputedprice_202106,LogImputedminInstalls_202106,LogImputedminInstalls_202106,LogImputedminInstalls_202106,LogImputedminInstalls_202106,LogImputedminInstalls_202106,LogImputedminInstalls_202106,LogImputedminInstalls_202106,LogImputedminInstalls_202106,offersIAPTrue_202106,offersIAPTrue_202106,offersIAPTrue_202106,offersIAPTrue_202106,offersIAPTrue_202106,offersIAPTrue_202106,offersIAPTrue_202106,offersIAPTrue_202106,containsAdsTrue_202106,containsAdsTrue_202106,containsAdsTrue_202106,containsAdsTrue_202106,containsAdsTrue_202106,containsAdsTrue_202106,containsAdsTrue_202106,containsAdsTrue_202106
,,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
,Leaders_full_NicheDummy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
full,Broad,571.0,0.15,0.43,0.01,0.03,0.06,0.08,3.05,571.0,16.24,1.98,6.91,16.12,16.12,17.73,22.33,571.0,0.68,0.47,0.0,0.0,1.0,1.0,1.0,571.0,0.67,0.47,0.0,0.0,1.0,1.0,1.0
full,Niche,1400.0,0.1,0.32,0.01,0.03,0.05,0.07,3.05,1400.0,16.54,1.55,6.22,16.12,16.12,17.73,22.33,1400.0,0.73,0.44,0.0,0.0,1.0,1.0,1.0,1400.0,0.74,0.44,0.0,0.0,1.0,1.0,1.0
category_GAME,Broad,62.0,0.05,0.03,0.01,0.03,0.05,0.07,0.09,62.0,16.52,1.02,13.82,16.12,16.12,17.73,18.42,62.0,0.9,0.3,0.0,1.0,1.0,1.0,1.0,62.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
category_GAME,Niche,991.0,0.16,0.48,0.01,0.03,0.06,0.08,3.05,991.0,16.27,1.65,6.91,16.12,16.12,17.73,20.72,991.0,0.87,0.33,0.0,1.0,1.0,1.0,1.0,991.0,0.84,0.37,0.0,1.0,1.0,1.0,1.0
category_BUSINESS,Broad,28.0,0.13,0.28,0.02,0.05,0.07,0.08,1.39,28.0,15.14,2.15,9.21,13.82,16.12,16.12,17.73,28.0,0.29,0.46,0.0,0.0,0.0,1.0,1.0,28.0,0.25,0.44,0.0,0.0,0.0,0.25,1.0
category_BUSINESS,Niche,239.0,0.06,0.18,0.01,0.02,0.05,0.07,2.78,239.0,16.83,1.83,9.21,16.12,16.12,17.73,22.33,239.0,0.47,0.5,0.0,0.0,0.0,1.0,1.0,239.0,0.43,0.5,0.0,0.0,0.0,1.0,1.0
category_SOCIAL,Broad,60.0,0.07,0.11,0.01,0.03,0.05,0.08,0.92,60.0,17.07,2.33,6.22,16.12,16.12,18.42,22.33,60.0,0.38,0.49,0.0,0.0,0.0,1.0,1.0,60.0,0.38,0.49,0.0,0.0,0.0,1.0,1.0
category_SOCIAL,Niche,153.0,0.08,0.17,0.01,0.03,0.06,0.08,1.13,153.0,16.37,1.81,6.91,16.12,16.12,16.12,22.33,153.0,0.49,0.5,0.0,0.0,0.0,1.0,1.0,153.0,0.58,0.5,0.0,0.0,1.0,1.0,1.0
category_LIFESTYLE,Broad,55.0,0.07,0.09,0.02,0.04,0.06,0.07,0.71,55.0,16.21,1.89,6.91,16.12,16.12,16.12,20.72,55.0,0.6,0.49,0.0,0.0,1.0,1.0,1.0,55.0,0.65,0.48,0.0,0.0,1.0,1.0,1.0
category_LIFESTYLE,Niche,326.0,0.05,0.04,0.01,0.03,0.05,0.07,0.71,326.0,16.84,1.42,8.52,16.12,16.12,17.73,22.33,326.0,0.6,0.49,0.0,0.0,1.0,1.0,1.0,326.0,0.73,0.44,0.0,0.0,1.0,1.0,1.0
category_MEDICAL,Broad,32.0,0.05,0.03,0.01,0.03,0.05,0.07,0.09,32.0,16.2,1.14,13.12,16.12,16.12,16.12,20.72,32.0,0.75,0.44,0.0,0.75,1.0,1.0,1.0,32.0,0.44,0.5,0.0,0.0,0.0,1.0,1.0
category_MEDICAL,Niche,25.0,0.05,0.03,0.01,0.03,0.04,0.06,0.09,25.0,16.47,1.36,11.51,16.12,16.12,17.73,18.42,25.0,0.72,0.46,0.0,0.0,1.0,1.0,1.0,25.0,0.72,0.46,0.0,0.0,1.0,1.0,1.0
