,,LogWNImputedprice_202106,LogWNImputedprice_202106,LogWNImputedprice_202106,LogWNImputedprice_202106,LogWNImputedprice_202106,LogWNImputedprice_202106,LogWNImputedprice_202106,LogWNImputedprice_202106,LogImputedminInstalls_202106,LogImputedminInstalls_202106,LogImputedminInstalls_202106,LogImputedminInstalls_202106,LogImputedminInstalls_202106,LogImputedminInstalls_202106,LogImputedminInstalls_202106,LogImputedminInstalls_202106,offersIAPTrue_202106,offersIAPTrue_202106,offersIAPTrue_202106,offersIAPTrue_202106,offersIAPTrue_202106,offersIAPTrue_202106,offersIAPTrue_202106,offersIAPTrue_202106,containsAdsTrue_202106,containsAdsTrue_202106,containsAdsTrue_202106,containsAdsTrue_202106,containsAdsTrue_202106,containsAdsTrue_202106,containsAdsTrue_202106,containsAdsTrue_202106
,,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
,Leaders_full_cluster_size_bin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
full,"[0, 10]",611.0,0.1,0.32,0.01,0.03,0.05,0.08,3.05,611.0,16.54,1.59,6.91,16.12,16.12,17.73,22.33,611.0,0.73,0.45,0.0,0.0,1.0,1.0,1.0,611.0,0.76,0.43,0.0,1.0,1.0,1.0,1.0
full,"(10, 30]",596.0,0.1,0.33,0.01,0.03,0.05,0.07,2.78,596.0,16.69,1.53,6.22,16.12,16.12,17.73,22.33,596.0,0.78,0.41,0.0,1.0,1.0,1.0,1.0,596.0,0.79,0.41,0.0,1.0,1.0,1.0,1.0
full,"(30, 100]",193.0,0.1,0.3,0.01,0.03,0.05,0.07,2.95,193.0,16.09,1.38,9.21,16.12,16.12,16.12,20.03,193.0,0.58,0.5,0.0,0.0,1.0,1.0,1.0,193.0,0.49,0.5,0.0,0.0,0.0,1.0,1.0
full,"(100, 500]",0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,
full,"(500, 1500]",571.0,0.15,0.43,0.01,0.03,0.06,0.08,3.05,571.0,16.24,1.98,6.91,16.12,16.12,17.73,22.33,571.0,0.68,0.47,0.0,0.0,1.0,1.0,1.0,571.0,0.67,0.47,0.0,0.0,1.0,1.0,1.0
category_GAME,"[0, 10]",430.0,0.12,0.36,0.01,0.03,0.05,0.08,2.95,430.0,16.27,1.48,6.91,16.12,16.12,16.12,20.03,430.0,0.87,0.33,0.0,1.0,1.0,1.0,1.0,430.0,0.87,0.34,0.0,1.0,1.0,1.0,1.0
category_GAME,"(10, 30]",591.0,0.19,0.54,0.01,0.03,0.06,0.08,3.05,591.0,16.29,1.74,6.91,16.12,16.12,17.73,20.72,591.0,0.87,0.33,0.0,1.0,1.0,1.0,1.0,591.0,0.82,0.38,0.0,1.0,1.0,1.0,1.0
category_GAME,"(30, 100]",32.0,0.05,0.02,0.01,0.03,0.04,0.06,0.09,32.0,16.33,1.11,13.82,16.12,16.12,16.52,18.42,32.0,0.94,0.25,0.0,1.0,1.0,1.0,1.0,32.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
category_GAME,"(100, 500]",0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,
category_GAME,"(500, 1500]",0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,
category_BUSINESS,"[0, 10]",83.0,0.08,0.3,0.01,0.03,0.05,0.07,2.78,83.0,16.67,1.96,9.21,16.12,16.12,17.73,20.72,83.0,0.39,0.49,0.0,0.0,0.0,1.0,1.0,83.0,0.42,0.5,0.0,0.0,0.0,1.0,1.0
category_BUSINESS,"(10, 30]",184.0,0.07,0.12,0.01,0.03,0.05,0.08,1.39,184.0,16.64,1.93,9.21,16.12,16.12,17.73,22.33,184.0,0.48,0.5,0.0,0.0,0.0,1.0,1.0,184.0,0.4,0.49,0.0,0.0,0.0,1.0,1.0
category_BUSINESS,"(30, 100]",0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,
category_BUSINESS,"(100, 500]",0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,
category_BUSINESS,"(500, 1500]",0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,
category_SOCIAL,"[0, 10]",77.0,0.11,0.24,0.01,0.03,0.06,0.08,1.13,77.0,16.29,2.41,6.91,16.12,16.12,16.12,22.33,77.0,0.45,0.5,0.0,0.0,0.0,1.0,1.0,77.0,0.6,0.49,0.0,0.0,1.0,1.0,1.0
category_SOCIAL,"(10, 30]",76.0,0.06,0.03,0.01,0.03,0.06,0.08,0.09,76.0,16.45,0.87,13.82,16.12,16.12,16.12,20.03,76.0,0.53,0.5,0.0,0.0,1.0,1.0,1.0,76.0,0.55,0.5,0.0,0.0,1.0,1.0,1.0
